"",".groups","time","HR1","HR2","Resp1","Resp2"
"1","1",13.29786,2.23000709447063,3.63101993586959,-0.865917369832988,-1.76114152065278
"2","2",13.299524,2.24915094873962,3.63101993586959,-0.910971574218485,-1.76114152065278
"3","3",13.301192,2.31324124346625,3.63101993586959,-0.926148611521266,-1.76114152065278
"4","4",13.302858,2.31324124346625,3.63101993586959,-0.889382066260184,-1.67712599884611
"5","5",13.304525,2.31324124346625,2.91081940290674,-0.804686863482973,-1.27487977906049
"6","6",13.306192,2.31324124346625,1.05887517528798,-0.700608809967857,-0.660789348633943
"7","7",13.30786,2.31324124346625,1.05887517528798,-0.592709540803046,0.0209207621415811
"8","8",13.309524,2.31324124346625,1.05887517528798,-0.445403887299004,0.599259596415739
"9","9",13.311191,2.31324124346625,1.05887517528798,-0.218913561878997,0.972075421973017
"10","10",13.312859,2.31324124346625,1.05887517528798,0.0359658475052851,1.14248640267808
"11","11",13.314525,2.31324124346625,1.05887517528798,0.236346152121458,1.15711178297841
"12","12",13.316192,2.27216677133215,0.816719295547596,0.316796830928499,1.08656359117356
"13","13",13.317858,2.13465658201361,0.564679502348418,0.299388374200719,1.00010973557629
"14","14",13.319524,2.13465658201361,0.564679502348418,0.255908450481334,0.923713147073181
"15","15",13.321191,2.13465658201361,0.564679502348418,0.220314662037029,0.849171634582472
"16","16",13.322859,2.13465658201361,0.564679502348418,0.173802308590554,0.77182952210871
"17","17",13.324525,2.13465658201361,0.564679502348418,0.051012648149675,0.701961278562089
"18","18",13.326193,2.13465658201361,0.564679502348418,-0.14636907886722,0.645108223237051
"19","19",13.327857,2.13465658201361,0.497673233302334,-0.349914714156712,0.601228201797482
"20","20",13.329524,2.13465658201361,0.145890320810393,-0.509254485652611,0.572457845840071
"21","21",13.331193,2.13465658201361,0.145890320810393,-0.617224906974954,0.549868134121333
"22","22",13.332859,2.16191839980173,0.145890320810393,-0.705286672518595,0.517560384297429
"23","23",13.334525,2.25318622457067,0.145890320810393,-0.783227592183063,0.484925665773375
"24","24",13.336192,2.25318622457067,0.145890320810393,-0.838060673267697,0.422544310149653
"25","25",13.337858,2.25318622457067,0.145890320810393,-0.864046726325697,0.306630232889757
"26","26",13.339524,2.25318622457067,0.145890320810393,-0.868480101286675,0.204593092451057
"27","27",13.341193,2.25318622457067,0.0411030859568307,-0.89330295761955,0.1412402692631
"28","28",13.342859,2.25318622457067,-0.0595748455691416,-0.948746317341699,0.118550008086234
"29","29",13.344525,2.25318622457067,-0.0595748455691416,-0.991179332663907,0.120809447286775
"30","30",13.346191,2.25318622457067,-0.0595748455691416,-0.985975508349557,0.132388617358297
"31","31",13.347858,2.25318622457067,-0.0595748455691416,-0.938352303597815,0.147057053278117
"32","32",13.349525,2.20716827614432,-0.0595748455691416,-0.875310865132624,0.166665040114992
"33","33",13.351192,2.05310818793435,-0.0595748455691416,-0.818461388323728,0.186576277337327
"34","34",13.352859,2.05310818793435,-0.0595748455691416,-0.733768066220285,0.203398148114123
"35","35",13.354524,2.05310818793435,-0.0753491119517264,-0.613480485504095,0.219739742509169
"36","36",13.356191,2.05310818793435,-0.0785799857891231,-0.49144278112454,0.185026677424364
"37","37",13.357858,2.05310818793435,-0.0785799857891231,-0.410728964712879,-0.00951915845459263
"38","38",13.359526,2.05310818793435,-0.0785799857891231,-0.401831183673763,-0.248921782297066
"39","39",13.361192,2.05310818793435,-0.0785799857891231,-0.437239098860724,-0.417309719775072
"40","40",13.362858,2.05310818793435,-0.0785799857891231,-0.493427362117571,-0.504352061692183
"41","41",13.364524,2.05310818793435,-0.0785799857891231,-0.565566089764035,-0.533331385785092
"42","42",13.366192,1.98811601432746,-0.0751590605495269,-0.641326054749595,-0.52623943113279
"43","43",13.367859,1.77053352007831,-0.0595748455691416,-0.731170542301901,-0.501321318289314
"44","44",13.369526,1.77053352007831,-0.0595748455691416,-0.821088219408321,-0.473159472532728
"45","45",13.371192,1.77053352007831,-0.0595748455691416,-0.893078530549975,-0.453194793025677
"46","46",13.372858,1.77053352007831,-0.0595748455691416,-0.953981329496023,-0.44388577576095
"47","47",13.374523,1.77053352007831,-0.0595748455691416,-0.984349979323283,-0.436285226603327
"48","48",13.376193,1.77053352007831,-0.0595748455691416,-0.979888080810167,-0.420120959996295
"49","49",13.377859,1.77053352007831,-0.0595748455691416,-0.958153604248963,-0.403557598981661
"50","50",13.379524,1.77053352007831,-0.0372698572430795,-0.898196157316653,-0.401385654232191
"51","51",13.381192,1.77053352007831,-0.0211179691448963,-0.798149014576294,-0.434416456791385
"52","52",13.382858,1.78592130167427,-0.0211179691448963,-0.637709675817732,-0.668734493643413
"53","53",13.384524,1.83743691832163,-0.0211179691448963,-0.393500739221139,-1.03753391612561
"54","54",13.386192,1.83743691832163,-0.0211179691448963,-0.131770975639165,-1.37070189615313
"55","55",13.38786,1.83743691832163,-0.0211179691448963,0.0948136969148398,-1.61116886396334
"56","56",13.389523,1.83743691832163,-0.0211179691448963,0.257385563002801,-1.7495530704857
"57","57",13.391192,1.83743691832163,0.00542223776543603,0.361870468942927,-1.76114152065278
"58","58",13.392858,1.83743691832163,0.111583065406764,0.474692871862304,-1.76114152065278
"59","59",13.394526,1.83743691832163,0.111583065406764,0.588561556287602,-1.76114152065278
