Resp1,Resp2,HR1,HR2,Resp1S,Resp2S,HR1S,HR2S
-1.13717557954474,0.535579185129258,2.55610682581264,1.93356417522469,-1.13717557954474,0.535579185129258,2.55610682581264,1.93356417522469
-1.71510250834389,0.830460848250954,2.41143654694764,1.93356417522469,-1.71510250834389,0.830460848250954,2.41143654694764,1.93356417522469
-2.12097040308213,1.07854284803195,2.41143654694764,1.57806766399537,-2.12097040308213,1.07854284803195,2.41143654694764,1.57806766399537
-2.39219760032564,1.30756105433581,2.41143654694764,1.50525512555081,-2.39219760032564,1.30756105433581,2.41143654694764,1.50525512555081
-2.57132755359453,1.51505666025759,2.41143654694764,1.50525512555081,-2.57132755359453,1.51505666025759,2.41143654694764,1.50525512555081
-2.64512429077642,1.69201688454805,2.41143654694764,1.50525512555081,-2.64512429077642,1.69201688454805,2.41143654694764,1.50525512555081
-2.51318111759297,1.84040588490737,0.878367603065671,1.50525512555081,-2.51318111759297,1.84040588490737,0.878367603065671,1.50525512555081
-2.10863886337341,1.95399033752244,0.518758838451384,1.56225596093042,-2.10863886337341,1.95399033752244,0.518758838451384,1.56225596093042
-1.52137115171989,2.02929260251775,0.518758838451384,1.63480247868628,-1.52137115171989,2.02929260251775,0.518758838451384,1.63480247868628
-0.949055790438196,2.06562113361459,0.518758838451384,1.63480247868628,-0.949055790438196,2.06562113361459,0.518758838451384,1.63480247868628
-0.531002255312781,2.07940524144025,0.518758838451384,1.63480247868628,-0.531002255312781,2.07940524144025,0.518758838451384,1.63480247868628
-0.331457868226092,2.09329735095723,0.518758838451384,1.63480247868628,-0.331457868226092,2.09329735095723,0.518758838451384,1.63480247868628
-0.287678034460187,2.11510953588774,0.518758838451384,1.63938621978386,-0.287678034460187,2.11510953588774,0.518758838451384,1.63938621978386
-0.324414551592459,2.13468249061321,0.518758838451384,1.70028449436593,-0.324414551592459,2.13468249061321,0.518758838451384,1.70028449436593
-0.372505405606537,2.14592385504054,0.1398331515893,1.70028449436593,-0.372505405606537,2.14592385504054,0.1398331515893,1.70028449436593
-0.39832994399655,2.15204334317495,-0.595728475848864,1.70028449436593,-0.39832994399655,2.15204334317495,-0.595728475848864,1.70028449436593
-0.398580518015631,2.16299031001427,-0.595728475848864,1.70028449436593,-0.398580518015631,2.16299031001427,-0.595728475848864,1.70028449436593
-0.39877911316094,2.17950815140001,-0.595728475848864,1.70028449436593,-0.39877911316094,2.17950815140001,-0.595728475848864,1.70028449436593
-0.42304966246266,2.19496661360291,-0.595728475848864,1.65379226323338,-0.42304966246266,2.19496661360291,-0.595728475848864,1.65379226323338
-0.460077978238037,2.20450263059506,-0.595728475848864,1.63480247868628,-0.460077978238037,2.20450263059506,-0.595728475848864,1.63480247868628
-0.482291956513336,2.2023531708708,-0.595728475848864,1.63480247868628,-0.482291956513336,2.2023531708708,-0.595728475848864,1.63480247868628
-0.486729518433521,2.19463327414915,-0.595728475848864,1.63480247868628,-0.486729518433521,2.19463327414915,-0.595728475848864,1.63480247868628
-0.472016629356042,2.18484887514442,-0.393460076627032,1.63480247868628,-0.472016629356042,2.18484887514442,-0.393460076627032,1.63480247868628
-0.472311654274073,2.17733003221276,-0.326037276886421,1.55930297387717,-0.472311654274073,2.17733003221276,-0.326037276886421,1.55930297387717
-0.511822050890823,2.17219349802655,-0.326037276886421,1.0056399386104,-0.511822050890823,2.17219349802655,-0.326037276886421,1.0056399386104
