"","Study","Group","Trial","Condition","Resp_RR","Resp_DET","Resp_LMAX","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT","HR_RR","HR_DET","HR_LMAX","HR_L","HR_ENTR","HR_LAM","HR_TT","Type"
"1","1","1","1","Synchronous",4.82468537961549,86.6366467030184,22,4.46749380605758,1.94056538900389,92.4931468073061,5.07226454788701,21.330964301877,99.1010822027718,94,10.5500565311098,3.06276192242173,99.6952441324331,15.135781318889,"Real"
"2","1","1","2","TurnTaking",18.8015441023302,97.8741860270876,20,5.98419984002953,2.30245729431279,98.1859385330324,6.08009920486553,20.6370731131236,98.0179601209136,72,8.84323162240735,2.87572276017755,99.5666572494424,15.1582751607761,"Real"
"3","1","2","1","TurnTaking",4.21823717234722,79.0589187952189,20,3.49139673490542,1.64392049731318,87.3665804096913,8.24195959036811,21.1308933316216,98.7212738243728,87,9.11215548829059,2.86722413790923,99.5019952408787,14.2597539658982,"Real"
"4","1","2","2","Synchronous",6.85704013307218,91.3016981179703,14,4.33485712329002,1.94536359833562,97.4742794087419,38.6810246136234,21.896182048323,98.320892003936,76,9.39508777137042,2.96520277233502,99.7959910409116,15.1288554034509,"Real"
"5","1","3","2","TurnTaking",3.2106902567709,74.7644529069958,29,3.15770499986135,1.45539964240363,85.2145366205968,3.83607720273106,22.8766244969327,98.4109948640598,110,11.2400455533699,3.06573672652856,99.3314938461176,23.6670338214332,"Real"
"6","1","3","3","Synchronous",5.28477679371076,89.4442137000631,60,4.82317646408229,2.15455121913893,93.9621886873721,6.07760936619018,24.7986752208475,98.2785637751901,89,10.4817089910776,3.01880010023031,99.2351674941359,20.1145701987043,"Real"
"7","1","4","1","Synchronous",3.67822933510217,85.0898244651673,31,3.79974738775979,1.79590868614014,89.5356212287438,4.12897233201581,22.3739270875272,95.9535153498778,70,9.16006169909824,2.82728536632022,99.6256093687423,17.7969409152584,"Real"
"8","1","4","3","TurnTaking",3.37454990312767,85.3385648162339,27,3.22882437081996,1.49132172528357,91.7828934596246,3.60331341008464,21.7776038619224,96.8603976943279,78,9.18896618670118,2.82513979831027,99.2438970695391,16.6564581598668,"Real"
"9","2","10","1","Conversation",3.4366558901183,81.3724334766368,28,3.18550910695659,1.49578556809744,91.1199700753752,3.93500918324445,21.4471236734798,99.3031291249321,120,11.9186890847668,3.2432948936777,99.7927019437327,17.7763514292301,"Real"
"10","2","10","2","TurnTaking",3.44623556599067,86.4650666067113,42,3.36420931249751,1.60204954265227,90.8901845161752,3.96949341664807,21.7300649233165,98.7221151198017,86,9.50369254651226,2.96775691350399,99.5983858800426,13.5205626415544,"Real"
"11","2","10","3","Synchronous",3.92356404796952,84.7679830525971,40,3.62005251758572,1.72394005003305,88.9967550391146,4.17885819055447,21.6282574194669,98.9850227698171,90,9.89251991856234,2.98861447906077,99.762837797736,14.2376123161449,"Real"
"12","2","5","1","Synchronous",5.32540169042538,88.7904951176041,52,4.32821818885199,1.99678272526592,95.6222120080817,6.1003312026665,36.3792262733787,97.5078080669849,142,12.9499335064277,3.29784152529422,98.5369947405814,18.8076377006808,"Real"
"13","2","5","2","TurnTaking",3.44671102784463,81.742009319055,33,3.30214030670162,1.52560921402046,90.8393280470858,3.80797155768778,29.9647810913161,98.2110211241107,100,11.0305329614242,3.12602792234584,99.4707683757765,15.6299961795259,"Real"
"14","2","5","3","Conversation",3.66047515544521,84.8090365474077,48,3.55358906650003,1.66143559023616,91.2703796177363,4.12742026715398,21.2042358443943,95.0481109833096,74,8.3803447778419,2.83496878997243,96.8237424962082,10.5048105939575,"Real"
"15","2","6","1","TurnTaking",3.96985994478655,83.9395659965578,36,3.57868260302211,1.68631570817034,90.8617079792047,4.60841882649388,22.726161753025,93.6454578900527,87,7.62540089003804,2.76295239537701,96.4245968683737,10.8708178438662,"Real"
"16","2","6","2","Conversation",4.91395108976737,83.852240474757,35,3.5106976744186,1.67080915438293,89.0201685731487,4.15038762280291,16.4492581790768,93.6137184991147,101,7.86765931046707,2.70787603455626,95.7070107891554,12.813367406006,"Real"
"17","2","6","3","Synchronous",3.58658486140023,84.3968949924142,42,4.35015437566432,1.99168238906179,90.1169042229871,5.35576305806828,23.114865543494,94.5891487295557,70,9.93900611910169,2.88105045712805,97.6343425944409,20.7801399182213,"Real"
