"",".groups","time","HR1","HR2","Resp1","Resp2"
"1","1",14.166125,1.00653171489141,0.327384626379198,-1.34061358654578,-0.260531898581538
"2","2",14.167791,0.626933662181048,0.327384626379198,-1.31376782145205,0.100983833880236
"3","3",14.169458,0.626933662181048,0.327384626379198,-1.28272149888126,0.343949887331306
"4","4",14.171124,0.626933662181048,0.327384626379198,-1.25396914580881,0.43871966342438
"5","5",14.172793,0.626933662181048,0.566535822532599,-1.27764210250847,0.417129773180884
"6","6",14.174459,0.626933662181048,1.21312979731772,-1.32730907953405,0.309039233851952
"7","7",14.176124,0.626933662181048,1.52551148263648,-1.36725636071278,0.161958811353069
"8","8",14.177792,0.626933662181048,1.64699324914933,-1.38616741691181,0.00569822077003557
"9","9",14.179458,0.626933662181048,1.64699324914933,-1.39291492993096,-0.177284143426166
"10","10",14.181125,0.626933662181048,1.64699324914933,-1.40963878039768,-0.367597057769666
"11","11",14.182793,0.602439737688827,1.64699324914933,-1.41688710471807,-0.520169951283645
"12","12",14.184459,0.498018270116726,1.64699324914933,-1.38494194520474,-0.608938499974626
"13","13",14.186123,0.498018270116726,1.64699324914933,-1.30145300272455,-0.606868071275991
"14","14",14.187792,0.498018270116726,1.07938749359143,-1.13801004132839,-0.488139540793155
"15","15",14.189459,0.498018270116726,-0.126774736969088,-0.918609857054546,-0.29455432634813
"16","16",14.191125,0.498018270116726,-0.126774736969088,-0.684048035325372,-0.109195755129973
"17","17",14.192792,0.498018270116726,-0.126774736969088,-0.42913615815805,0.00277077358031555
"18","18",14.194458,0.498018270116726,-0.126774736969088,-0.174168587505532,0.0352328402630714
"19","19",14.196123,0.498018270116726,-0.126774736969088,0.01977311553458,0.0218006226640826
"20","20",14.197792,0.498018270116726,0.160341907879078,0.114705779025953,-0.00131212754812528
"21","21",14.199459,0.390683716967317,1.88119546009534,0.12492037277312,-0.0233431148240606
"22","22",14.201126,-0.0669004306696408,1.99562015243594,0.039059296385829,-0.0309587258954123
"23","23",14.202791,-0.0669004306696408,1.99562015243594,-0.0939253495255175,-0.0285649484209184
"24","24",14.204458,-0.0669004306696408,1.99562015243594,-0.215478853842224,-0.0243176193261667
"25","25",14.206125,-0.0669004306696408,1.99562015243594,-0.301028025209141,-0.0232536890879963
"26","26",14.207792,-0.0669004306696408,1.99562015243594,-0.34765271872681,-0.0387406006519998
"27","27",14.209459,-0.0669004306696408,1.99562015243594,-0.370627464050288,-0.0571861666273989
"28","28",14.211125,-0.0669004306696408,1.99562015243594,-0.393549311314467,-0.0662955284102674
"29","29",14.212792,-0.0669004306696408,1.99562015243594,-0.40234705419694,-0.0517432600232009
"30","30",14.214457,-0.0669004306696408,1.99562015243594,-0.387672250913356,-0.031608308148296
"31","31",14.216126,-0.0233881300659546,-0.147083787812036,-0.361847568887009,-0.00176056745625218
"32","32",14.217792,0.162111677770813,-0.751436181215311,-0.336837430960746,0.0292748833784277
"33","33",14.21946,0.162111677770813,-0.751436181215311,-0.32864177981012,0.0477301524395621
"34","34",14.221123,0.162111677770813,-0.751436181215311,-0.35139633158595,0.0426063986822598
"35","35",14.222792,0.162111677770813,-0.751436181215311,-0.390963864908088,0.027402974568948
"36","36",14.224458,0.162111677770813,-0.751436181215311,-0.424332433785336,0.0120912430392302
"37","37",14.226125,0.162111677770813,-0.751436181215311,-0.444260379912907,0.00955113254208396
"38","38",14.227792,0.162111677770813,-2.11140591590752,-0.452146168854393,0.0175923681578169
"39","39",14.229459,0.162111677770813,-1.86999378950867,-0.447023873445703,0.0230365859898155
"40","40",14.231123,0.162111677770813,0.88573353335416,-0.45352151839614,0.0233796031826987
"41","41",14.232791,0.0495363373064699,0.88573353335416,-0.473317219375465,0.0191608588540192
"42","42",14.23446,-0.430390114146782,0.88573353335416,-0.501934746906537,-0.0135474564098671
"43","43",14.236125,-0.430390114146782,0.88573353335416,-0.52743333175026,-0.074781794741843
"44","44",14.237792,-0.430390114146782,0.88573353335416,-0.540019736855381,-0.145591767462914
"45","45",14.239458,-0.430390114146782,0.88573353335416,-0.547955628430268,-0.207030395086372
"46","46",14.241124,-0.430390114146782,0.88573353335416,-0.576935271131493,-0.251954108549415
"47","47",14.242792,-0.430390114146782,0.641736244511593,-0.611466199600349,-0.279373193107444
"48","48",14.24446,-0.430390114146782,-0.639249521911885,-0.579557058074545,-0.284513730580606
"49","49",14.246125,-0.430390114146782,-0.639249521911885,-0.477496918674672,-0.271785904556606
"50","50",14.247792,-0.430390114146782,-0.639249521911885,-0.353722340965733,-0.247336750969069
"51","51",14.249457,-0.290770454887095,-0.639249521911885,-0.253405364645936,-0.233551550845906
"52","52",14.251125,0.304450197746305,-0.639249521911885,-0.189885439550735,-0.243108303554659
"53","53",14.252792,0.304450197746305,-0.639249521911885,-0.158186492549175,-0.258567941580389
"54","54",14.254459,0.304450197746305,-0.639249521911885,-0.155748343584336,-0.259152749179876
"55","55",14.256124,0.304450197746305,-0.639249521911885,-0.180301321859917,-0.258969701778782
"56","56",14.257792,0.304450197746305,-0.620894849238975,-0.208580602857348,-0.245054690103266
"57","57",14.259457,0.304450197746305,-0.603952074463981,-0.219512545896457,-0.229838678203061
"58","58",14.261125,0.304450197746305,-0.603952074463981,-0.207603601506046,-0.255946797205108
"59","59",14.262793,0.304450197746305,-0.603952074463981,-0.1720788991305,-0.337970127839401
"60","60",14.264458,0.304450197746305,-0.603952074463981,-0.0650020454077713,-0.429294784006706
"61","61",14.266124,0.302266373878188,-0.603952074463981,0.120300501411381,-0.486742296447832
"62","62",14.267792,0.29295638791411,-0.603952074463981,0.335982661724683,-0.500470851529969
"63","63",14.269459,0.29295638791411,-0.603952074463981,0.50864622792856,-0.481442313674003
"64","64",14.271125,0.29295638791411,-0.591580505112924,0.622462100876367,-0.493919170696788
"65","65",14.272793,0.29295638791411,-0.57377751507116,0.673713654320519,-0.627618513480942
