"",".groups","time","HR1","HR2","Resp1","Resp2"
"1","1",13.677292,1.36881894042826,-1.01841751350402,-0.273272116290045,0.56620541937864
"2","2",13.67896,1.36881894042826,-1.01841751350402,-0.273272116290045,0.481363294517257
"3","3",13.680624,1.36881894042826,-1.01841751350402,-0.273272116290045,0.396716764529052
"4","4",13.682292,1.36881894042826,-1.01841751350402,-0.273272116290045,0.315509550558606
"5","5",13.683958,0.61582751449684,-1.15562812355126,-0.273272116290045,0.23908462455569
"6","6",13.685625,0.522761158482842,-1.44720066990162,-0.273272116290045,0.189779571386852
"7","7",13.687292,0.522761158482842,-1.44720066990162,-0.273272116290045,0.19844428618071
"8","8",13.68896,0.522761158482842,-1.44720066990162,-0.273272116290045,0.259986638378329
"9","9",13.690623,0.522761158482842,-1.44720066990162,-0.273272116290045,0.334899884614877
"10","10",13.692291,0.522761158482842,-1.44720066990162,-0.273272116290045,0.413641204486168
"11","11",13.693959,0.522761158482842,-1.45964622042868,-0.273272116290045,0.497189311796692
"12","12",13.695625,0.522761158482842,-1.52040979064902,-0.273272116290045,0.578116314173147
"13","13",13.697292,0.522761158482842,-1.52040979064902,-0.273272116290045,0.638366680048833
"14","14",13.698958,0.522761158482842,-1.52040979064902,-0.273272116290045,0.662798087765009
"15","15",13.700624,0.021313925957478,-1.52040979064902,-0.273272116290045,0.644302679320004
"16","16",13.702291,-0.0406626982872301,-1.52040979064902,-0.273272116290045,0.602585388713453
"17","17",13.70396,-0.0406626982872301,-1.49078443854933,-0.273272116290045,0.562785328764494
"18","18",13.705625,-0.0406626982872301,-1.27353185648494,-0.273272116290045,0.540018210251149
"19","19",13.707293,-0.0406626982872301,-1.27353185648494,-0.273272116290045,0.519309368081214
"20","20",13.708957,-0.0406626982872301,-1.27353185648494,-0.273272116290045,0.472570781570098
"21","21",13.710624,-0.0406626982872301,-1.27353185648494,-0.273272116290045,0.421751402691949
"22","22",13.712293,-0.0406626982872301,-1.27353185648494,-0.273272116290045,0.385246192057789
"23","23",13.713959,-0.0406626982872301,-1.27353185648494,-0.273272116290045,0.364368740069145
"24","24",13.715625,-0.0406626982872301,-1.44546398176746,-0.273272116290045,0.355576155850795
"25","25",13.717292,0.12771724493629,-1.44720066990162,-0.273272116290045,0.358868635398514
"26","26",13.718958,0.148528249154927,-1.44720066990162,-0.273272116290045,0.346492838628971
"27","27",13.720624,0.148528249154927,-1.44720066990162,-0.273272116290045,0.320169528254496
"28","28",13.722293,0.148528249154927,-1.44720066990162,-0.273272116290045,0.302785656386207
"29","29",13.723959,0.148528249154927,-1.44720066990162,-0.273272116290045,0.292454309349135
"30","30",13.725624,0.148528249154927,-1.28395198528995,-0.273272116290045,0.269668214881343
"31","31",13.727291,0.148528249154927,-1.27353185648494,-0.273272116290045,0.226912681208513
"32","32",13.728958,0.148528249154927,-1.27353185648494,-0.273272116290045,0.177110039314938
"33","33",13.730625,0.148528249154927,-1.27353185648494,-0.273272116290045,0.138231524766863
"34","34",13.732292,0.148528249154927,-1.27353185648494,-0.273272116290045,0.133889630393768
"35","35",13.733959,0.313750213675149,-1.24719310707075,-0.273272116290045,0.15680894853423
"36","36",13.735624,0.334170905919221,-0.83455269958175,-0.273272116290045,0.18335775204626
"37","37",13.737291,0.334170905919221,-0.83455269958175,-0.273272116290045,0.196489415425684
"38","38",13.738959,0.334170905919221,-0.83455269958175,-0.273272116290045,0.166678110810401
"39","39",13.740626,0.334170905919221,-0.83455269958175,-0.273272116290045,0.0874528150117407
"40","40",13.742292,0.334170905919221,-0.83455269958175,-0.273272116290045,0.00118320838655937
"41","41",13.743958,0.334170905919221,-0.768995172006566,-0.273272116290045,-0.05992681277004
"42","42",13.745624,0.334170905919221,-0.59174704189588,-0.273272116290045,-0.085845053333827
"43","43",13.747292,0.334170905919221,-0.59174704189588,-0.273272116290045,-0.0880281522583393
"44","44",13.748959,0.334170905919221,-0.59174704189588,-0.273272116290045,-0.0978429524340255
"45","45",13.750626,0.876659428600448,-0.59174704189588,-0.273272116290045,-0.117075554437023
"46","46",13.752291,0.943708571853184,-0.59174704189588,-0.273272116290045,-0.138167755431268
"47","47",13.753958,0.943708571853184,-0.255784232443394,-0.273272116290045,-0.144195453997799
"48","48",13.755623,0.943708571853184,-0.0827124821193863,-0.273272116290045,-0.144975713172596
"49","49",13.757293,0.943708571853184,-0.0827124821193863,-0.273272116290045,-0.158170006110592
"50","50",13.758959,0.943708571853184,-0.0827124821193863,-0.273272116290045,-0.186181499354482
"51","51",13.760624,0.943708571853184,-0.0827124821193863,-0.273272116290045,-0.218312053140205
"52","52",13.762292,0.943708571853184,-0.0426633269802792,-0.273272116290045,-0.268169044563808
"53","53",13.763958,0.943708571853184,0.18428188547466,-0.273272116290045,-0.381079984403745
"54","54",13.765624,0.943708571853184,0.18428188547466,-0.273272116290045,-0.530349195857468
"55","55",13.767293,1.25342671152985,0.18428188547466,-0.273272116290045,-0.667190807967788
"56","56",13.76896,1.29170648160225,0.18428188547466,-0.273272116290045,-0.764215958846456
"57","57",13.770623,1.29170648160225,0.18428188547466,-0.273272116290045,-0.827060498055135
"58","58",13.772292,1.29170648160225,0.69096799708665,-0.273272116290045,-0.884067917860437
"59","59",13.773958,1.29170648160225,0.809820294872179,-0.273272116290045,-0.954304847480694
"60","60",13.775626,1.29170648160225,0.809820294872179,-0.273272116290045,-1.06260747044911
"61","61",13.777292,1.29170648160225,0.809820294872179,-0.273272116290045,-1.17578787587131
"62","62",13.778959,1.29170648160225,0.809820294872179,-0.273272116290045,-1.25267422046983
"63","63",13.780623,1.29170648160225,0.861749474624416,-0.273272116290045,-1.28006445165582
"64","64",13.782292,1.29170648160225,0.907799879310361,-0.273272116290045,-1.27904447183209
"65","65",13.783958,1.75582988709099,0.907799879310361,-0.273272116290045,-1.29195052625827
"66","66",13.785626,1.81319345406151,0.907799879310361,-0.273272116290045,-1.32134027069119
"67","67",13.787292,1.81319345406151,0.907799879310361,-0.273272116290045,-1.35412644370303
"68","68",13.788957,1.81319345406151,0.944836162227995,-0.273272116290045,-1.37556339235418
"69","69",13.790624,1.81319345406151,1.04007231830191,-0.273272116290045,-1.3796472315646
"70","70",13.792292,1.81319345406151,1.04007231830191,-0.273272116290045,-1.37369973981398
"71","71",13.793959,1.81319345406151,1.04007231830191,-0.273272116290045,-1.37403168538331
"72","72",13.795625,1.81319345406151,1.04007231830191,-0.273272116290045,-1.37927769044233
"73","73",13.797292,1.81319345406151,1.04007231830191,-0.273272116290045,-1.39000569728963
"74","74",13.798957,1.81319345406151,1.04007231830191,-0.273272116290045,-1.40728878278578
"75","75",13.800625,2.08137298410148,1.04007231830191,-0.273272116290045,-1.44727432600778
"76","76",13.802292,2.11451876871316,1.04007231830191,-0.273272116290045,-1.58731829524554
"77","77",13.80396,2.11451876871316,1.04007231830191,-0.273272116290045,-1.87510655131082
"78","78",13.805624,2.11451876871316,1.04007231830191,-0.273272116290045,-2.06620982498035
"79","79",13.807292,2.11451876871316,1.01404036746149,-0.273272116290045,-1.91167134466016
"80","80",13.808958,2.11451876871316,1.00669802235265,-0.273272116290045,-1.39882000140325
"81","81",13.810625,2.11451876871316,1.00669802235265,-0.273272116290045,-0.749577996675541
"82","82",13.812292,2.11451876871316,1.00669802235265,-0.108189827675651,-0.203046120207695
"83","83",13.81396,2.11451876871316,1.00669802235265,-0.0220822544701088,0.152080951395994
"84","84",13.815623,2.11451876871316,0.959226913692352,-0.206307201341333,0.333100073243485
"85","85",13.817291,2.2839803818075,0.907799879310361,-0.273272116290045,0.394209969675501
"86","86",13.818959,2.30492507556073,0.907799879310361,-0.273272116290045,0.362128472741026
"87","87",13.820625,2.30492507556073,0.907799879310361,-0.273272116290045,0.281437796723067
"88","88",13.822292,2.30492507556073,0.907799879310361,-0.273272116290045,0.201388793050157
"89","89",13.823958,2.30492507556073,0.914352264019665,-0.273272116290045,0.136866681470535
"90","90",13.825624,2.30492507556073,0.940561802856878,-0.273272116290045,0.0925559658784909
"91","91",13.827291,2.30492507556073,0.940561802856878,-0.273272116290045,0.0552216931219015
"92","92",13.82896,2.30492507556073,0.940561802856878,-0.273272116290045,0.00270844749690235
"93","93",13.830625,2.30492507556073,0.940561802856878,-0.273272116290045,-0.046419915482013
"94","94",13.832293,2.30492507556073,0.940561802856878,-0.273272116290045,-0.0796814673338834
"95","95",13.833957,2.34122939766164,0.313320998179747,-0.273272116290045,-0.102652501631887
"96","96",13.835624,2.34571644870782,-0.140887860379556,-0.273272116290045,-0.110863129853852
"97","97",13.837293,2.34571644870782,-0.140887860379556,-0.273272116290045,-0.122167791902742
"98","98",13.838959,2.34571644870782,-0.140887860379556,-0.273272116290045,-0.152612759763051
"99","99",13.840625,2.34571644870782,-0.140887860379556,-0.273272116290045,-0.199166397535056
"100","100",13.842292,2.34571644870782,-0.140887860379556,-0.273272116290045,-0.244474874157228
"101","101",13.843958,2.34571644870782,-0.674992946324169,-0.273272116290045,-0.275333032913105
"102","102",13.845624,2.34571644870782,-1.75938812081778,-0.273272116290045,-0.284759042152526
"103","103",13.847293,2.34571644870782,-1.75938812081778,-0.273272116290045,-0.286186400234082
"104","104",13.848959,2.34571644870782,-1.75938812081778,-0.273272116290045,-0.307042164729115
"105","105",13.850624,1.62423021188726,-1.75938812081778,-0.273272116290045,-0.349846641361831
"106","106",13.852291,1.53505775565101,-1.75938812081778,-0.273272116290045,-0.397936420954532
"107","107",13.853958,1.53505775565101,-1.75938812081778,-0.273272116290045,-0.434710599261506
"108","108",13.855625,1.53505775565101,-1.98389088594439,-0.273272116290045,-0.45356827025846
"109","109",13.857292,1.53505775565101,-1.99083427043285,-0.273272116290045,-0.462018120231032
"110","110",13.858959,1.53505775565101,-1.99083427043285,-0.273272116290045,-0.482017395338156
"111","111",13.860624,1.53505775565101,-1.99083427043285,-0.273272116290045,-0.494453131178833
"112","112",13.862291,1.53505775565101,-1.99083427043285,-0.273272116290045,-0.503188582629171
"113","113",13.863959,1.53505775565101,-1.99083427043285,-0.273272116290045,-0.528712461878629
"114","114",13.865626,1.53505775565101,-1.91276719941452,-0.273272116290045,-0.430572691053369
"115","115",13.867292,0.477706807448911,-1.87602975422942,-0.273272116290045,-0.223586524393761
"116","116",13.868958,0.347022982390224,-1.87602975422942,-0.273272116290045,-0.0462785312580395
"117","117",13.870624,0.347022982390224,-1.87602975422942,-0.273272116290045,0.0332403305739144
"118","118",13.872292,0.347022982390224,-1.87602975422942,-0.273272116290045,0.0436587353700713
"119","119",13.873959,0.347022982390224,-1.87602975422942,-0.273272116290045,0.0263482817368028
"120","120",13.875626,0.347022982390224,-1.25854894090714,-0.273272116290045,0.00527773827554344
"121","121",13.877291,0.347022982390224,-1.01841751350402,-0.273272116290045,-0.0296803708106151
"122","122",13.878958,0.347022982390224,-1.01841751350402,-0.273272116290045,-0.0769953541652636
"123","123",13.880623,0.347022982390224,-1.01841751350402,-0.273272116290045,-0.121131936421341
"124","124",13.882293,0.347022982390224,-1.01841751350402,-0.273272116290045,-0.147721729776755
"125","125",13.883959,-0.195428241329942,-1.01841751350402,-0.273272116290045,-0.151218125109132
"126","126",13.885624,-0.262472774598725,-0.707990633245741,-0.273272116290045,-0.137634887467278
"127","127",13.887292,-0.262472774598725,-0.673498757661487,-0.273272116290045,-0.119405561102766
"128","128",13.888958,-0.262472774598725,-0.673498757661487,-0.273272116290045,-0.0743091964521497
"129","129",13.890624,-0.262472774598725,-0.673498757661487,-0.273272116290045,0.072273886687825
